Profundidad,Presion,Temperatura,Porosidad,Permeabilidad,Produccion_Petroleo,Produccion_Gas,Volumen_Agua
3882.026172983832,145.95765945728675,83.30045889475322,16.9923614409907,169.17530761657625,1042.6205285446058,4279.265459114529,206.7496008969315
3200.078604183612,133.33537998653043,79.99520020565856,17.971775310874744,81.37208808222394,1149.428103685409,4149.208103123669,196.16360439290733
3489.3689920528695,184.67200494882002,88.18115897680804,14.316082927372479,117.52572851666287,704.3144556320192,3244.025989566078,199.09880886601744
4120.446599600729,153.8129800815442,84.28213708010031,19.266701869351177,188.08957719696875,1023.7013586825911,5989.385012228059,245.83935995929494
3933.778995074984,146.44379212702808,54.96052678329183,11.48165202158555,120.1613817513532,691.4737855996887,3465.5502716554934,264.82622949794165
2511.3610600617944,128.29949761968163,81.20481132560916,19.14549016991581,116.81537664855621,1057.7533948546018,4999.4740549633925,175.01575932309336
3475.044208762795,169.44524665682493,88.07892856884165,8.922603209643405,138.12229227988922,386.2392294219488,2674.066257124382,192.38108167555572
2924.321395851151,178.62943368089987,86.02120978278114,8.509234197655783,132.50996889802775,368.04618923154027,2655.9690454689126,267.9784364493694
2948.3905741032213,145.09853913481615,71.34809999768355,12.709870891338007,162.90989756020983,642.9519252640433,3573.519095338259,228.08297873407122
3205.2992509691862,137.53492379775926,78.46679649191766,6.3532812785587325,73.68037209928261,289.01259494213275,2168.907955015546,135.38883410449358
3072.021785580439,142.08002267988726,77.5950944104172,11.087398331685415,177.27486534960926,448.8097992678974,4456.713522689107,189.66276964881575
3727.1367534814876,122.829551954365,79.39236653734932,19.88103235230363,151.44144847327402,835.2681468776901,5682.21700783951,195.22260159573884
3380.518862573497,176.45205055333938,85.3286612370705,11.228910381205772,174.42643399842387,667.634480960389,4061.4223889092755,252.04058845355138
3060.837508246414,150.06887876868436,87.64400944067465,11.432427490863143,92.49316835325482,817.0755915786615,3210.000543843806,211.30080398204595
3221.9316163727126,149.996064597829,71.43916640398514,17.705726846237045,179.55255096880845,1147.3267893670427,5821.331280016615,276.0464314576415
3166.8371636871334,180.67407910820893,63.1765950340441,16.003291621632343,56.18261181770265,511.04421141535494,6114.382248437675,239.25238307343733
3747.039536578803,134.53835504351457,86.530694625506,7.101172349453238,188.03211643465588,352.85194737608845,2000.1546596221274,261.64414470576963
2897.4208681170994,141.97490125657833,89.30255080043128,8.854036982612797,195.3861150788101,519.344392443805,2226.152497863113,222.8893207799666
3156.533850825451,147.69286471254682,84.05182610768952,19.152299080824424,90.30121844621776,1055.5334886131952,5520.04050617965,145.52630471921503
2572.9521303491374,170.23110897975985,82.04002481224875,11.974876971475544,89.95536831664238,899.616595803747,2819.2455069060297,172.89361279888564
1723.5050920829606,180.26471044111955,71.77234409770325,14.653534132578026,75.89988499086719,762.0484009872123,3739.568616195667,290.9410498848527
3326.8092977201804,168.3413724239585,67.23125692478649,8.837468513395825,105.2735233011841,465.2412286691249,2707.482006071053,178.23474822203207
3432.218099429753,164.57786143575711,77.73563125646457,19.397750420448716,188.24107455608146,860.4406932635055,3646.092924000659,252.26708052606605
2628.917489796779,161.0406428602093,69.83947290288143,14.743906311308276,50.14923025850612,683.1511537210897,5301.704254918173,246.67320041561885
4134.877311993804,93.93531830710026,73.4270521843216,5.823816288407978,148.6650075185561,241.67980456938517,1873.3277900910396,156.86967332540019
2272.8171627006177,142.07893643659744,82.93990901617896,7.586904491676673,66.87762737202937,542.1183893339005,2126.968796226723,257.1439798832645
3022.879258650723,135.7371275583226,86.20052525183667,13.017938230937576,157.70424438918866,652.8088160666268,4633.801155382599,220.92063367525122
2906.408074987083,176.01667337402478,87.79633652095418,18.610511062781473,102.99131687129304,879.2868602330029,6215.154712423797,242.71267048471412
3766.3896071792287,138.9426841436151,84.54984017341047,13.455090960200206,128.9004673549592,369.8941407511151,4329.918865658951,213.9311726938323
3734.679384950143,191.4179481980902,66.96564259179694,15.92014267208883,131.14528659506357,862.8813116618907,5649.841381617496,313.33709080484823
3077.473712848458,142.68183339813191,74.35550283489657,10.49370141130415,58.77284776887704,464.26973558174336,3690.872400689389,132.8854079434631
3189.0812598010866,132.0473991668785,73.02867611351013,13.167847636904293,108.74144757007204,701.8812079712442,4151.967836113631,201.82737117266734
2556.107126184944,178.89872962041915,90.37839742328111,15.59063027542862,171.1522472648329,886.077780714084,4642.400244380388,168.00116492025063
2009.6017658880364,153.45883708329416,95.60154421600846,14.54753503590468,185.51460686309534,712.0935220578747,4430.468717752393,213.82668447230589
2826.0439253369236,155.65376992567374,65.39793884099552,13.43556564941693,191.02500770565027,851.3040286517951,4421.835406972032,231.2039617216544
